221	8430921.52155	5685890.44547
222	8430873.03318	5685982.41026
223	8430817.51727	5686064.22507
225	8430716.05971	5686234.33094
226	8430669.35756	5686323.38272
227	8430613.86937	5686406.14731
228	8430567.63692	5686495.18053
229	8430512.14877	5686577.94518
230	8430466.35839	5686666.01014
231	8430409.99624	5686750.71103
232	8430364.15829	5686837.82716
235	8430205.61622	5687094.34447
236	8430157.92743	5687182.48482
237	8430103.38874	5687265.21205
238	8430056.6769	5687354.2645
239	8430000.32454	5687438.95521
240	8429953.53791	5687526.11914
241	8429898.09764	5687609.83298
242	8429843.14149	5687693.38755
243	8429793.49846	5687780.19438
